GMDN,Short Desp,Long Desp
47870,Orthopaedic fixation implant alignment tool,"A surgical instrument designed to facilitate the correct orientation (alignment) of an orthopaedic fixation implant, implants, or system of implants during orthopaedic surgery. It may be used, e.g., to align a series of bone screws in an implant system for posterior stabilization of the spine, or to align a spinal anatomical fixation implant. It is available in a variety of shapes and sizes and allows the surgeon to engage this device with the implant(s) and align them in the desired configuration. It is typically made of high-grade stainless steel or titanium alloy and will have profiled features to fit into the implant(s) to align them. This is a reusable device."
47872,Bone graft funnel,"A device designed to deliver bone graft filling material (autologous, allogeneic, xenogeneic, or synthetic) during an orthopaedic procedure to enable the filling of bone gaps intended to be fused. It is a funnel-shaped device; the funnel being bowl-shaped with the ability to hold back the filling material depending upon the angle of tilt applied by the surgeon, and a long, thin tube that can be inserted into the site to be filled, e.g., a cancellous bone graft being discharged into the posterior disc space of a vertebra. An orthopaedic graft inserter can be pushed down the funnel tube to press the graft material into the site. This is a reusable device."
47873,Pelvic C-clamp,"A manual surgical instrument designed as an emergency stabilization device for unstable injuries and fractures of the pelvic ring; these conditions can be associated with massive blood loss and terminal shock. It is mechanically fixed to either side of the pelvis by means of thick nails permitting quick and efficient compression and stabilization of pelvic fractures and luxations providing time for haemorrhage and embolization control. It is typically designed as a C-shaped frame with a rail, twin adjustable arms, adjusting side screws, and nails made of high-grade stainless steel and/or synthetic material. It is compatible for use in computed tomography (CT). This is a reusable device."
47874,Orthopaedic ball spike,"A hand-held manual surgical instrument used in the surgical wound to reposition a bone fragment during a surgical intervention. It is typically a robust instrument designed with a handle at the proximal end and a long, sturdy, shaft that terminates in a singularly pointed ball head at the distal end. It is typically made of high-grade stainless steel and/or synthetic material and is used by the surgeon to reposition and hold bone fragments. This is a reusable device."
47875,Surgical power tool adaptor,"A connecting device designed as a mechanical coupling to join and lock together a distal tool to the surgical power tool to provide the power when these are incompatible and are of a different manufacture/industry standard. It is typically made from high-grade stainless steel and/or synthetic material and is available in a variety of shapes and sizes. This device may be cannulated to allow the use of a guidewire. There are various types such as a Hudson adaptor, Trinkle adaptor, Zimmer adaptor. This is a reusable device."
47886,Surgical power tool irrigation-control device,"A device designed to be activated by the surgeon to regulate the flow of irrigation fluid (normally sterile saline) to the surgical site where a rotational high-speed cutting tool [e.g., 40.000 - 90.000 revolutions per minute (rpm)] is being applied to bone; primarily to provide the fluid as a coolant to the cutting tool (e.g., a bur or drill) and the site to avoid necrosis. It typically consists of tubing, connectors, and a simple electrically or pneumatically activated valve in which the coolant tubing is placed and which is pinched to regulate the fluid flow. It is typically made of metal and/or synthetic materials. This is a reusable device."
47900,Orthopaedic implant calibration pin,"A cylindrical rod used preoperatively as a precision guide to align an orthopaedic implant aiming arm with, e.g., an intramedullary bone nail (femoral, humeral, and tibial) that will be implanted. It is inserted through the guiding locking holes of the adjustable aiming arm and its profiled distal tip is engaged into the locking holes of the intramedullary nail providing a given reference point whereby the drill guides and the rest of the aiming arm can be correctly set to correspond with the holes and measurements of the implant. It is typically made of high-grade stainless steel or synthetic materials. Several calibration pins will be used for this procedure. This is a reusable device."
47901,Bone nail dummy,"A cylindrical rod that simulates an orthopaedic bone nail designed to be placed into the proximal end of the intramedullary canal of a long bone (e.g., through the femoral head) to act as a decisive reference point for the subsequent drilling and insertion of guide wires/bone screws to secure the fracture(s); the dummy nail is then exchanged with the implant nail. An orthopaedic implant/trial implant holder is connected to the exposed end of the dummy nail whilst in situ and it is this alignment together with a connecting screw and an aiming arm which provides the surgeon with the correct calculated positions and angles for the final placement of the bone screws. This is a reusable device."
47904,Orthopaedic bone-reduction tool,"A hand-held manual surgical instrument that is fed down the intramedullary canal of a long bone (e.g., the femur) to help reposition a fracture where the two sections are out of alignment to achieve reduction for consequent reaming and nailing of the bone. It is typically a short cylindrical device with a protruding pointed tip (straight or angled) and which is secured to the distal end of a long, thin, flexible rod/shaft having a handle at the proximal end. It is pressed down the intramedullary canal to the fracture site and the surgeon manipulates the alignment, reducing the bone fragments under image-intensifier control. It is made of high-grade stainless steel. This is a reusable device."
47905,Orthopaedic medialization instrument,"A surgical instrument used to restore the anatomical and mechanical axes during orthopaedic correction osteotomies. It is typically designed as a robust block with a long, thin, adjusting rod running through its centre and an incremented measuring scale that enables the surgeon to gauge the adjustments made to the axes (the medialization). It is usually attached to a dedicated bone plate which is bridging the osteotomy site in order to achieve the correct offset of the two separated bone sections. It is typically made of high-grade stainless steel and can be used on adult and paediatric patients. This is a reusable device."
47927,"Femoral artery compression instrument, single-use","A non-sterile device intended to provide compression for haemostasis to the puncture site on a patient having undergone femoral artery catheterization. It can be used as an alternative to direct hand pressure. It can have various designs such as an elastomeric or hard ball, dome or roller that is held in place with a bandage, belt or straps secured around the patient's hips/thigh. It is typically used following coronary angiography/ventriculography and percutaneous transluminal coronary angioplasty (PTCA); it may be used on brachial and radial arteries or after venipuncture. This is a single-use device."
47930,Temporary mandibular condyle prosthesis,A sterile implantable device intended for the temporary reconstruction of the mandibular condyle of the temporomandibular joint (TMJ) typically in a patient undergoing ablative surgery requiring the removal of the mandibular condyle. It is typically made of metal or synthetic material and includes the condyle head with an adjustable plate for attachment to the remaining natural mandible.
47951,Surgical power tool drive-shaft seal,"A small sterile device designed as an external seal that is placed on the drive shaft of a rotary cutting tool (e.g., an orthopaedic reamer) that is attached to and driven by a surgical power tool in order to prevent the backflow of fluid (i.e., blood and rinsing fluid) penetrating the drive mechanisms of the power tool. It is made of synthetic material (e.g., silicone) and is available in a variety of shapes and sizes. This is a single-use device."
47986,Female stress urinary incontinence surgical mesh,"A sterile woven/knitted or porous material made of non-bioabsorbable synthetic polymer (e.g., polypropylene) intended to be permanently implanted (via transobturator, transvaginal, retropubic or suprapubic approach) to support the urethra for the treatment of female stress urinary incontinence (SUI), resulting from urethral hypermobility and/or intrinsic sphincter deficiency (ISD). It typically includes an integral adjustment suture which may contain bioabsorbable polymer materials. It may be referred to as a sling, tape, or subfascial hammock, and may be pre-configured or cut to a desired size/shape. Disposable devices associated with implantation (e.g., needles, sheaths) may be included. See also: Visceral retainer; Transobturator needle, reusable"
47996,Orthodontic anchor plate,"A small metallic plate that is implanted intraorally to serve as a temporary anchor for an orthodontic device (e.g., a spring). It is available in various sizes and lengths and is anchored to the jawbone with dedicated bone screws. It is used in a variety of orthodontic treatment situations, especially when normal anatomy has been compromised (e.g., due to periodontal disease or agenesis, displacement of teeth in the same direction, asymmetrical anatomy). This is a single-use device."
47997,Bone grafting cannula,"A sterile rigid tube intended to be used surgically to introduce a bone void filler (e.g., a bone matrix implant/bone substitute) in voids or gaps of the skeletal system (i.e., extremities, craniofacial bone, spine, and pelvis) to fill defects in the bone structure created surgically or traumatically. It is typically made of high-grade stainless steel with a plastic hub at the distal end to connect to a syringe or other device that propels the filler. The device may also be used for the delivery of orthopaedic cement. This is a single-use device."
48019,Wart-removal material,"A compound or solution intended to be topically applied to the surface of a wart for its eventual removal after repeated applications. As an active ingredient it may include acid (e.g., formic acid) for drying warts, or plant extracts (e.g., oils, resins) for wart necrosis; some types may also protect the surrounding skin from further infection during treatment and/or be intended to treat hard skin and corns. It is normally available [non-prescription] over-the-counter (OTC). After application, this device cannot be reused. See also: Wart-removal cryogenic kit; Molluscum contagiosum treatment solution"
48024,"Orthopaedic bone-fragment manipulator, single-use, sterile","A sterile, hand-held manual surgical instrument designed to help position a fractured fragment of bone to achieve proper alignment (reduction). It is typically a long, thin, rigid rod made of high-grade stainless steel with a self-drilling/self-tapping screw thread at the distal end and a connector at the proximal end to attach an appropriate handle. The device is usually inserted transcutaneously to the fractured section of bone (e.g., through the skin and into a craniofacial fracture) and removed after positioning and fixation of the fracture. This is a single-use device."
48025,"Orthopaedic bone-fragment manipulator, reusable","A hand-held manual surgical instrument designed to help position a fractured fragment of bone to achieve proper alignment (reduction). It is typically a long, thin, rigid rod made of high-grade stainless steel with a self-drilling/self-tapping screw thread at the distal end and a connector at the proximal end to attach an appropriate handle. The device is usually inserted transcutaneously to the fractured section of bone (e.g., through the skin and into a craniofacial fracture) and removed after positioning and fixation of the fracture. This is a reusable device."
48044,"Dura mater graft, bioengineered","A sterile device made from bioengineered materials (e.g., cellulose fibres produced by microorganisms) used for the repair or replacement of the dura mater in a recipient during a neurosurgical procedure. Restoration of the dura mater maintains the integrity of the brain and spinal cord, and helps prevent leakage of the cerebrospinal fluid (CSF). This dural graft is typically overlaid on the patient's dura. It may be supplied in various sizes and shapes (e.g., square or rectangular) and may be sutured into place."
48055,Ceramic acetabular liner,"A sterile implantable inner component of a two-piece acetabulum prosthesis that is inserted into an acetabular shell prosthesis to provide the articulating surface with a femoral head prosthesis as part of a total hip arthroplasty (THA). It is made of ceramic material (e.g., alumina)."
48056,Metallic acetabular liner,"A sterile implantable inner component of a two-piece acetabulum prosthesis that is inserted into an acetabular shell prosthesis to provide the articulating surface with a femoral head prosthesis as part of a total hip arthroplasty (THA). It is made of metal [e.g., cobalt-chrome (Co-Cr)]."
48059,Reverse shoulder prosthesis base plate,"A sterile rod made of metal or other material which, when inserted into the intramedullary canal of the ulna, acts to immobilize by holding the ends of a fractured bone in position to promote healing. The device may also be used to support the bone in the presence of a pathological condition. The device may be a locked or unlocked model, and possess components to assist fixation of more proximal or distal conditions. This is a single-use device."
48066,Knee stem,"A sterile device designed to provide additional stability for an implanted knee femur prosthesis by extending the attachment of the prosthesis from the distal femur into the midshaft of the bone. It is typically a shaft-like device made of metal [e.g., cobalt-chrome (Co-Cr)] and is often used in prosthesis revision to compensate for bone loss."
48067,Knee arthroplasty wedge,"A sterile device designed to augment the implantation of a knee femur or tibia prosthesis by acting as a space-filler adjacent to the prosthesis, typically to replace lost bone. It is typically made of metal [e.g., cobalt-chrome (Co-Cr), cobalt-chrome-molybdenum (Co-Cr-Mo) or titanium (Ti)]."
48068,"Uncoated unicondylar knee tibia prosthesis, metallic","A sterile implantable device designed to replace the bearing surface of one tibial condyle (tibial component) during primary or revision unicompartmental replacement of the knee joint. It is made of metal [e.g., cobalt-chrome (Co-Cr)] and is not coated with a material intended to improve fixation and stability. The device articulates with a femoral component and an insert, and its implantation is intended to be performed with bone cement."
48069,"Uncoated unicondylar knee tibia prosthesis, polyethylene","A sterile implantable device designed to replace the bearing surface of one tibial condyle (tibial component) during primary or revision unicompartmental replacement of the knee joint. It is made of polyethylene (PE) and is not coated with a material intended to improve fixation and stability. The device articulates with a femoral component, and its implantation is intended to be performed with bone cement."
48070,Unicondylar knee insert,A sterile implantable device designed to articulate the femoral and tibial components of a knee joint prosthesis during primary or revision unicompartmental knee joint replacement. It is a one-piece contoured device typically made of polyethylene (PE).
48082,Contact lens wetting solution,"An aqueous formulation intended to wet contact lenses. The device is dispensed as droplets typically directly on the eyes while the patient wears the contact lenses; it is available in single- or multiple-dose containers. After application, this device cannot be reused."
48088,Stem-fixed humeral head prosthesis,"A sterile implantable artificial substitute for a diseased or injured humeral head. It is made of metal [e.g., titanium (Ti), cobalt-chrome (Co-Cr), stainless steel] and designed to be attached to a humeral stem prosthesis and to articulate with the natural glenoid fossa, a glenoid fossa prosthesis, or a humeral head bipolar component as part of a shoulder replacement."
48089,Resurfacing humeral head prosthesis,"A sterile implantable device designed to treat a disease-damaged (e.g., arthritic) shoulder joint by replacing the humeral articulating surface of the joint while preserving the natural humerus. It consists of a metallic humeral cap [e.g., titanium (Ti), cobalt-chrome (Co-Cr), stainless steel] that is placed over (resurfaces) a surgically-prepared humeral head, and may be used with a cementless stem."
48090,Press-fit shoulder humeral stem prosthesis,"A sterile implantable device designed to provide fixation within the proximal humerus and a site of attachment for a humeral head or humeral body prosthesis as part of a shoulder joint replacement. The device is made of metal [e.g., titanium (Ti), cobalt-chrome (Co-Cr), stainless steel] and is contoured to enable fixation by pressing the distal end into the cortex of the remaining natural humerus to achieve a mechanical interlock without the use of bone cement."
48091,Reverse shoulder prosthesis base plate,"A sterile implantable component of a reverse shoulder prosthesis that consists of a metal plate [e.g., titanium (Ti), cobalt-chrome (Co-Cr), stainless steel] intended to be firmly attached to the scapula with screws. It is intended to serve as the foundation for the reverse shoulder prosthesis head (glenosphere)."
48092,Polyethylene reverse shoulder prosthesis cup,"A sterile implantable component of a reverse shoulder prosthesis that consists of a polyethylene (PE) cup intended to be attached to a humeral stem prosthesis, or humeral body component, and to articulate with the reverse shoulder head."
48140,Sinus balloon catheter,"A sterile flexible tube with an inflatable balloon at its distal tip designed to gently restructure the nasal passages and dilate obstructed sinus ostia during a surgical procedure (sinuplasty), typically to treat sinusitis. The device typically consists of a single lumen tube with a connector at the proximal end for attachment to an inflation device, most often a hand pump, which allows the operator precision for dilatation of nasal passageways. This is a single-use device."
48141,Sinus irrigation catheter,"A sterile flexible tube designed to introduce fluid (e.g., saline solution) into the sinus cavities to provide irrigation for the flushing and removal of mucus, pus, and blood from the site of intervention. It typically consists of a single lumen tube with end and/or side holes at the distal end; the proximal end is typically connected to a syringe or irrigation fluid pumping system via a Luer-lock. This is a single-use device."
48142,Sinus guide-catheter,A sterile cannula-like catheter consisting of a tube with a tip designed to facilitate placement of other devices into or near different sinus ostia. It is used to provide a channel to access the sinus space during diagnostic and therapeutic procedures. This is a single-use device.
48143,Sinus guide-catheter handle,"A sterile, hand-held, tubular device designed to create an extension from which the user can stabilize the position of a sinus guide catheter. It typically has a malleable handle and a press-fit connector at the distal end for connection to the guide catheter. This is a single-use device."
48144,Sinus-illumination light guide cable,"A sterile device designed to transmit cold light via a guidewire into the sinus cavities to provide illumination of the operative site during diagnostic and therapeutic procedures in conjunction with other nasal and sinus devices. It is typically a flexible light cable with a fibreoptic core which tapers at the distal end into a long, thin, probe that is capable of being manoeuvred into the various cavities; the proximal end will attach to an appropriate light source. This is a single-use device."
48155,Dura mater biomatrix implant,"A sterile device made of animal-derived collagen (e.g., equine, porcine) designed to temporarily substitute for dura mater during surgical repair or replacement of dura, and to function as a matrix for the regeneration of living dura. Restoration of the dura mater maintains the integrity of the brain and spinal cord, and helps prevent leakage of the cerebrospinal fluid (CSF). The device is typically in the form of a transparent foil that usually requires no suturing and may be used with fibrin sealant."
48164,"Cervical total disc replacement prosthesis, sterile","A sterile implantable device designed to replace most or all of a dysfunctional intervertebral disc in the cervical spine. It is typically made of metal or synthetic polymer materials, or a combination of the two. It most commonly has a two-plate design, one plate attaching to the vertebra above and the other to the vertebra below. The device is intended to facilitate motion usually through the sliding action of its smooth surfaces."
48165,Lumbar total disc replacement prosthesis,"A sterile implantable device designed to replace most or all of a dysfunctional intervertebral disc in the lumbar spine. It is typically made of metal or synthetic polymer materials, or a combination of the two. It most commonly has a two-plate design, one plate attaching to the vertebra above and the other to the vertebra below. The device is intended to facilitate motion usually through the sliding action of its smooth surfaces."
48180,Ankle prosthesis bearing,A sterile implantable device made of polyethylene (PE) designed to articulate the tibial and talar components of a total ankle prosthesis.
48181,Coated ankle talus prosthesis,"A sterile implantable device designed to replace the proximal talus (talar component) as part of a primary ankle joint replacement or prosthesis revision. The device is made of metal [e.g., titanium (Ti), cobalt-chrome (Co-Cr), stainless steel] and is coated with a material (e.g., porous materials, hydroxyapatite) intended to improve fixation and stability by promoting bone ingrowth. Fixation devices for implantation (e.g., screws) may be included and implantation may be performed with or without bone cement."
48189,Lumbar cerebrospinal fluid drainage kit,"A sterile collection of items designed for use with dimensionally compatible devices for draining cerebrospinal fluid (CFS) and other fluids of similar physical characteristics from the lumbar subarachnoid (intrathecal) region as a means of reducing intracranial pressure (ICP) and CSF volume. It typically includes a catheter, a Tuohy needle, suture, and connectors. This is a single-use device."
49479,"Human parainfluenza virus 4B nucleic acid IVD, control",A material which is used to verify the performance of an assay intended to be used for the qualitative and/or quantitative detection of nucleic acid from human parainfluenza virus 4B in a clinical specimen.
52522,"Humeral head trial prosthesis, single-use","A sterile copy of a final humeral head prosthesis designed to be used before primary or revision implant surgery to validate the proper size of the permanent prosthesis required by the patient, to ensure its proper orientation and positioning, and to verify that the implant site has been cut to the proper dimensions. It has a cup-like ball shape and is available in types such as concentric head fixation, eccentric head fixation, or types for revision surgery. It is typically made of metal and/or polyethylene (PE). This is a single-use device."
52751,"04 Electro mechanical medical devices , 10 Single-use devices ","A sterile rigid device intended to be used during an endoscopic procedure to provide access for the instillation of haemostatic agents to a bleeding surgical site. It is typically made of high-grade stainless steel and plastic materials, and consists of a long, single lumen tube with an atraumatic tip, and an obturator for expressing the excess agent remaining in the cannula. It is used for general and trauma surgery in the abdomen and pelvis, urological, gynaecological, and surgical oncology applications. It is inserted into the body percutaneously, via a port or a rigid endoscope (e.g., laparoscope). This is a single-use device."
53303,"Glucose IVD, kit, electrometry","A collection of reagents and other associated materials intended to be used for the quantitative measurement of glucose in a clinical specimen, using an electrometry method."
55791,"Rifabutin IVD, control",A material which is used to verify the performance of an assay intended to be used for the qualitative and/or quantitative detection of rifabutin in a clinical specimen.
55833,"Press-fit hip femur prosthesis, modular","A sterile implantable principal component of a total hip prosthesis (femoral component) designed to replace the femoral head and neck. The device is composed of two or more separate pieces (e.g., head, neck, and stem) designed to be joined, and is contoured to enable fixation by pressing the distal end into the cortex of the remaining natural femur to achieve a mechanical interlock without the use of bone cement. The device may be made of metal and/or ceramic materials; supplemental fixation devices for implantation (e.g., screws and bolts) may be included."
55851,"Flexible bone nail, sterile","A sterile, bending rod made of metal designed for insertion into the intramedullary canal of a long bone for fracture fixation where flexibility of the implant is desired. It is available in various lengths and diameters for use on lower and upper extremity diaphyseal fractures and some metaphyseal fractures of paediatrics and small-statured/normal adults to provide temporary stabilization of the bone segments/fragments until bone consolidation has been achieved. It is intended to splint the cortices and maintain elastic energy to continually brace against rotational/angular forces of the muscles. This is a single-use device."
56296,"Open-surgery electrosurgical handpiece/electrode, bipolar, single-use","A sterile rigid combined electrosurgical handpiece and bipolar electrode, intended to deliver electrosurgical current from a system generator directly to tissues for cutting/coagulation during an open surgical procedure. It is available in a variety of forms (e.g., pen, pistol-shaped forceps, pincer-shaped forceps, scissors) and may also include irrigation, aspiration, lavage and/or surgical plume (smoke) evacuation features to support its primary electrosurgical function. This is a single-use device."
56302,Craniotomy kit,"A collection of various sterile basic instruments, dressings and the necessary materials used to perform a craniotomy procedure. It typically includes scalpels, retractors, forceps, sutures, but does not contain pharmaceuticals. This is a single-use device."
56636,Syringe lock,"A small device designed to attach between the thumb rest of a syringe plunger and the top of the syringe barrel to lock the syringe in an open position to eliminate the need to manually hold the syringe plunger when generating a vacuum within the syringe. It is typically made of stainless steel and is available for different size syringes (e.g., 60 cc, 30 cc, 10 cc versions). It is typically used for the collection of adipose tissue from the patient or a container holding the tissue or other substances from plastic and reconstructive surgery, cosmetic surgery, or general surgery procedures. This is a reusable device."
56637,Orthopaedic bone distractor,"A hand-held manual surgical instrument designed to distract (force apart) two bone surfaces to enable a surgical procedure. It typically aids in fracture reduction by helping to temporarily stabilize bones prior to definitive surgical fixation. It typically consists of a central threaded spindle, a static endpiece and a sliding carriage that can be adjusted using spindle nuts to or from the endpiece to widen or shorten the gap; it facilitates the attachment of orthopaedic bone pins (Schanz screws) screwed into the bones to be distracted. It is typically used for multiple injuries when it is advantageous to perform procedures on a standard operating table. This is a reusable device."
56640,"Orthopaedic implant/instrument adaptor, single-use","A sterile connecting device designed to join an orthopaedic implant to a surgical instrument, or a surgical instrument to another instrument, typically to create an extension for removal of the implant (e.g., during a percutaneous interspinous distraction procedure for the removal of a distraction sleeve), or to connect two devices with incompatible interfaces. It is typically made from high-grade stainless steel and/or synthetic material and is available in a variety of sizes and lengths. This is a single-use device."
56642,"Orthopaedic bone screw, non-bioabsorbable, non-sterile","A small, non-sterile, threaded rod with a slotted head typically used for internal orthopaedic fracture fixation by being screwed into bone to hold plates or nails to bone or to provide direct interfragmentary stabilization of bone, or it may fasten soft tissue to bone; it is made of a material that cannot be chemically degraded or absorbed via natural body processes (includes implant grade metal such as surgical steel, titanium alloy, or carbon fibre). Screws available are: cortical, cancellous, malleolar, scaphoid, partially-threaded and fully-threaded, self-tapping, and cannulated. A ""lag screw"" can be any of these used to obtain compression. This device must be sterilized prior to use."
56643,"Femur nail, non-sterile","A non-sterile rod made of metal or other material which, when inserted into the intramedullary canal of the femur, acts to immobilize by holding the ends of a fractured bone in position to promote healing. The device may also be used to support the bone in the presence of a pathological condition, or for knee arthrodesis. The device may be a locked or unlocked model, and possess components to assist fixation of more proximal or distal conditions. This is a single-use device intended to be sterilized prior to use."
56644,"Humerus nail, non-sterile","A non-sterile rod made of metal or other material which, when inserted into the intramedullary canal of the humerus, acts to immobilize by holding the ends of a fractured bone in position to promote healing. The device may also be used to support the bone in the presence of a pathological condition. The device may be a locked or unlocked model, and possess components to assist fixation of more proximal or distal conditions. This is a single-use device intended to be sterilized prior to use."
56649,Graft preparation station,"A non-sterile assembly of devices designed to provide the operator with a workstation for the preparation and pretensioning of a graft prior to implantation. It typically consists of a work base to provide a stable platform on which the graft can be treated, various types of adjustable and fixed posts including soft tissue clamps and tensioning devices, a graft sizing block, and the necessary tools (e.g., an Allen key) to hold and tension the graft. It may be used for a variety of graft such as semitendinosus patellar tendon, quadriceps tendon, or patellar tendon grafts for anterior cruciate ligament (ACL) reconstruction. This is a reusable device intended to be sterilized prior to use."
56684,"Home-use/point-of-care glucose analyser IVD, battery-powered","An exclusively battery-powered instrument intended to be used by a layperson in the home or similar environment, or by health professionals at the point-of-care, for the quantitative in vitro measurement of glucose levels in whole blood. Measured glucose values are used to manage blood glucose levels, primarily by persons with diabetes mellitus. This analyser is typically included in a blood glucose monitoring system."
56706,"Laboratory fluorescent immunoassay analyser IVD, semi-automated","A stationary mains electricity (AC-powered) laboratory instrument intended to be used for the qualitative and/or quantitative in vitro determination of chemical and/or biological markers in a clinical specimen. The instrument detects fluorescent markers that result from an immunological reaction between the reagents and the specimen, and typically includes an autosampler, reagent dispenser, light source, filter or monochromator, a fluorescent detection system (fluorometer or spectrofluorometer), data processing and/or data display software. The device operates with reduced technician involvement and automation of some, but not all, procedural steps."
56710,Acetabulum prosthesis apical hole plug,"A sterile implantable device designed as a small threaded plug intended to close the apical hole of a two-piece acetabulum prosthesis [a metal shell and an ultrahigh molecular weight polyethylene (UHMWPE) liner], implanted with or without bone cement. The plug, typically made of titanium alloy, is screwed into place to fill the driver hole of the acetabulum prosthesis after implantation."
56915,"Multiple CD cell marker IVD, kit, enzyme immunohistochemistry","A collection of reagents and other associated materials intended to be used for the qualitative and/or quantitative detection of multiple cluster of differentiation (CD) cell markers in a clinical specimen, including associated percentage, calculated scores, and/or enumeration of specific cell populations, using an enzyme immunohistochemistry method. It is used as an aid in the diagnosis/prognosis of conditions associated with different CD cell markers (e.g., colon cancer)."
56919,"Multiple CD cell marker IVD, control","A material which is used to verify the performance of an assay intended to be used for the qualitative and/or quantitative detection of multiple cluster of differentiation (CD) cell markers in a clinical specimen, including associated percentage and/or enumeration of specific cell populations."
57797,Physiology-monitoring sedation/anaesthesia system cannula,"A non-sterile, semi-rigid tube designed to sample respiratory gases from and deliver oxygen (O2) and an auditory stimulus (e.g., voice commands) to a patient during a procedure involving sedation or anaesthesia. It is intended to be used in conjunction with a physiology-monitoring sedation or anaesthesia system and is placed on the patient's face between the nose and the mouth and held in place with adhesive tabs or straps. It consists of nasal prongs, an oral horn, and an earpiece that are positioned in the nares, between the lips, and in an ear respectively. This is a single-use device."
57805,"Metallic spinal fusion cage, non-sterile","A non-sterile device intended to help fuse segments of the spine to treat anatomical abnormalities of the vertebrae, typically due to degenerative intervertebral disks [i.e., degenerative disc disease (DDD)]. The device is typically designed as a small, hollow and/or porous, threaded or fenestrated cylinder (or other geometric form) made of metal [usually titanium (Ti)] that is implanted between the bones or bone grafts of the spine, to provide mechanical stability and sufficient space for therapeutic spinal bone fusion to occur. Disposable devices associated with implantation may be included. This device must be sterilized prior to use."
57806,"Vertebral body prosthesis, non-sterile","A non-sterile implantable device designed to replace or repair (fuse) the spinal bony segments, or vertebrae, lost or injured as a consequence of, e.g., trauma, deformity, tumour, or degenerative disease. It is typically intended to be used with supplemental spinal fixation and may be used with a bone graft. It is usually made of metal, polymer, or a combination of these materials. This device must be sterilized prior to use."
57825,Electrosurgical/ultrasonic surgical system generator,"A mains electricity-powered (AC-powered) device designed to provide high frequency electrical current to power connected electrosurgical diathermy instruments (create heat within tissues) and ultrasonic surgical instruments (rapidly vibrate tissues), enabling a combination of methods to cut and/or coagulate tissues during open or laparoscopic surgery; the instruments are not included. The device may be used for various types of surgery (e.g., general, gynaecological, plastic); it is typically regulated by the operator with a hand- or foot-switch. See also: Electrosurgical system generator; Ultrasonic surgical system generator; Electrosurgical/ultrasonic surgical system tester interface"
57871,"Specimen processing instrument IVD, automated","A mains electricity (AC-powered) instrument or platform intended to be used for the automated pre-analytical preparation of a clinical specimen (excluding specimens for microbial culture), which may include the sampling, diluting, and/or aliquoting of clinical specimens and/or any post-analytical processing required, including labelling, storage and/or location data. The device operates with minimal technician involvement and automation of all procedural steps."
57874,"Suture/needle passer, single-use","A sterile, hand-held, manual surgical instrument designed for passing (driving) sutures and suture needles through tissues/prosthetic materials to facilitate suturing. A passer, also known as a needle driver, is a long, thin, rod-like device that may be flexible or rigid in design and have hooks, catches, clasps, or forceps-like jaws at the distal end that grip/hold. The distal end will typically terminate as a button, rounded, or acorn tip, while the proximal end will have a handle or lever that is operated by the user. This is a single-use device."
57956,"Rigid endoscopic grasping forceps, single-use","A sterile, rigid manual device used in combination with a compatible endoscope to grasp tissue (typically atraumatically) or foreign bodies. It is typically constructed as a very long instrument with one sliding and one stationary rod whose distal ends are equipped with grasping tongs or claws which are operated by scissors-like ring handles at the proximal end of the instrument. It is typically made of metal and plastic materials and is introduced into the body through the working channel of the endoscope to grasp internal structures for observation, excision, and/or biopsy procedures. This is a single-use device"
58007,"Rectal dilator, single-use",A sterile surgical instrument designed to dilate the anal sphincter and canal when the size of the anal opening may interfere with its function or the passage of an examining instrument. This is a single-use device.
58016,Colorectal sizer,"A hand-held manual surgical instrument designed to assess colon and/or rectal lumen diameter to aid the selection of an appropriate size intraluminal stapler (i. e, the stapler head) for bowel anastomosis following transection. It is typically made of high-grade stainless steel and consists of a shaft handle at the proximal end and an oval-shaped head at the distal end that is introduced transanally. The device is typically available in a set of graduated sizes. This is a reusable device."
58017,Ultrasonic surgical system handpiece/generator tester,"A non-sterile metal [e.g., titanium (Ti)] rod designed to test the ability of an ultrasonic surgical handpiece/generator combination to achieve frequency resonance lock as a means to ascertain that the handpiece and generator function properly together. It is inserted into the handpiece as a substitute for the ultrasonic surgical handpiece tip during testing. It is intended to be used by a healthcare provider in a clinical setting. This is a reusable device intended to be sterilized prior to use"
58029,"Foot-switch, pneumatic","A gas-powered pedal used by an operator of a medical device to regulate the activation and/or intensity of a parent device (e.g. a pneumatic surgical saw, pneumatic wire driver, pneumatic surgical power tool system control unit) to which it is connected typically via one or more hoses and which is dependent upon pressurized gas [e.g., medical air, nitrogen (N2)]. This is a reusable device."
58040,Laparoscopic clip applier,"A sterile, rigid device designed to perform through a compatible laparoscopic instrument (e.g., a laparoscopic sleeve) for the application of an implantable clip(s), to achieve ligation/occlusion during transection or for radiographic marking. It typically consists of an insertion sheath, a mechanism at the distal end for applying the clips, an integral cassette containing the surgical or ligation clips, and a control handle at the proximal end for firing the clips into the target tissue. This is a single-use device."
58044,"Dura mater graft, synthetic","A sterile implantable device made from synthetic polymers [e.g., expanded polytetrafluoroethylene (ePTFE), ePTFE/elastic fluoropolymer] intended to be used for the temporary or permanent repair or replacement of the dura mater in a recipient during a neurosurgical procedure. Restoration of the dura mater maintains the integrity of the brain and spinal cord, and helps prevent leakage of the cerebrospinal fluid (CSF). This dural graft is typically overlaid on the patient's dura; it is typically supplied in the form of a patch and may be sutured into place."
